keyword,cluster,est_volume,intent,cv_distance,difficulty,ai_risk,priority_rank,note
保育士 面接 質問,C11_採用側・選考突破【中核】,"1,000",Know,A,High,中,,推定/根拠:大手（人材バンク等）が回答例付きで独占。園長の『実際に何を見ているか』で差別化
保育士 面接 逆質問,C11_採用側・選考突破【中核】,500,Know,A,Mid,低,1,推定/根拠:逆質問＝園の見極め手段。採用側が好感/減点する質問を実名で語れるのは決裁者だけ【P2重点:30代・経験5年以上・失敗回避層】
保育士 面接 逆質問 ng,C11_採用側・選考突破【中核】,100,Know,A,Low,低,,推定/根拠:NG事例は採用側しか断定できない。園長監修の独自性が最も出る型
保育士 面接 逆質問 何個,C11_採用側・選考突破【中核】,50,Know,B,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 面接 服装,C11_採用側・選考突破【中核】,"1,000",Know,C,High,高,,推定/根拠:服装は事実回答型でAI Overviews直撃。集客用に留める
保育士 面接 落ちた 理由,C11_採用側・選考突破【中核】,500,Know,A,Mid,低,5,推定/根拠:不採用理由（保育観の不一致/待遇偏重/コミュニケーション）は採用側視点が本命
保育士 面接 落ちる人 特徴,C11_採用側・選考突破【中核】,100,Know,A,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 面接 園長 見るところ,C11_採用側・選考突破【中核】,50,Know,A,Low,低,7,推定/根拠:検索母数は小さいが完全な空白地帯。サイトの旗艦記事になりうる
保育士 面接 採用 決め手,C11_採用側・選考突破【中核】,100,Know,A,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 採用されやすい人 特徴,C11_採用側・選考突破【中核】,100,Know,A,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 面接 保育観 答え方,C11_採用側・選考突破【中核】,100,Do,A,Low,低,50,推定/根拠:『保育観の不一致』が不採用理由の中核（複数メディアが言及）。深掘り余地大【P2重点:30代・経験5年以上・失敗回避層】
保育士 面接 手応えあったのに落ちた,C11_採用側・選考突破【中核】,50,Know,B,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 面接 給料 聞いていい,C11_採用側・選考突破【中核】,100,Know,A,Low,低,48,推定/根拠:通説は『見学時に給与を聞くな』。園長として反論・条件付き肯定ができる差別化KW【P2重点:30代・経験5年以上・失敗回避層】
保育士 面接 残業 聞き方,C11_採用側・選考突破【中核】,100,Do,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 面接 自己紹介 例文,C11_採用側・選考突破【中核】,500,Do,B,Mid,高,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 面接 当日 流れ,C11_採用側・選考突破【中核】,100,Know,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 面接 実技 ピアノ 転職,C11_採用側・選考突破【中核】,100,Know,B,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 一次面接 二次面接 違い,C11_採用側・選考突破【中核】,50,Know,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 面接 メモ 持ち込み,C11_採用側・選考突破【中核】,50,Know,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 面接 結果 遅い,C11_採用側・選考突破【中核】,100,Know,B,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 志望動機,C11_採用側・選考突破【中核】,"5,000",Do,B,High,中,,推定/根拠:例文需要が巨大。養成校・大手が独占しAIにも直接生成される。ピラー配下で受ける
保育士 志望動機 例文,C11_採用側・選考突破【中核】,"5,000",Do,B,High,高,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 志望動機 転職 例文,C11_採用側・選考突破【中核】,"1,000",Do,B,High,高,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 履歴書 志望動機,C11_採用側・選考突破【中核】,"1,000",Do,B,High,高,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 志望動機 未経験,C11_採用側・選考突破【中核】,500,Do,B,Mid,高,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 志望動機 ブランク,C11_採用側・選考突破【中核】,500,Do,B,Mid,高,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 志望動機 人間関係が理由,C11_採用側・選考突破【中核】,100,Do,A,Low,低,47,推定/根拠:本音→建前の言い換えは事例判断型でAIが弱い。悩み層と選考層の結節点
保育士 志望動機 待遇 書き方,C11_採用側・選考突破【中核】,50,Do,A,Low,低,,推定/根拠:『待遇偏重は減点』の通説に対し、採用側がOKな書き方を示せる【P2重点:30代・経験5年以上・失敗回避層】
保育士 志望動機 刺さる 採用側,C11_採用側・選考突破【中核】,50,Do,A,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 自己PR 例文,C11_採用側・選考突破【中核】,"1,000",Do,C,Mid,高,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 自己PR 経験者,C11_採用側・選考突破【中核】,100,Do,B,Low,中,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 職務経歴書 書き方,C11_採用側・選考突破【中核】,500,Do,B,Mid,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 職務経歴書 テンプレート,C11_採用側・選考突破【中核】,500,Do,C,Mid,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 職務経歴書 いらない,C11_採用側・選考突破【中核】,50,Know,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 履歴書 転職回数 多い 書き方,C11_採用側・選考突破【中核】,100,Do,A,Low,低,18,推定/根拠:短期離職の見せ方。採用側の許容ラインを語れるのは決裁者のみ【P2重点:30代・経験5年以上・失敗回避層】
保育士 履歴書 空白期間 書き方,C11_採用側・選考突破【中核】,100,Do,B,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 応募書類 手書き パソコン どっち,C11_採用側・選考突破【中核】,100,Know,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 履歴書 書き方,C11_採用側・選考突破【中核】,"1,000",Do,C,Mid,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 転職 退職理由 例文,C11_採用側・選考突破【中核】,500,Do,A,Mid,低,6,推定/根拠:退職理由の言い換えは選考通過の要所。悩み層→応募のCV導線【P2重点:30代・経験5年以上・失敗回避層】
保育士 退職理由 人間関係 伝え方,C11_採用側・選考突破【中核】,100,Do,A,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育園 見学 質問 リスト,C11_採用側・選考突破【中核】,500,Do,A,Mid,低,4,推定/根拠:大手が10〜25選型で上位。数値で答えさせる質問設計＋園長の『答えられない園＝黒』で上書き可能
保育園 見学 チェックポイント,C11_採用側・選考突破【中核】,500,Do,A,Mid,低,3,推定/根拠:見学は応募直前の行動。CV距離が最短クラス【P2重点:30代・経験5年以上・失敗回避層】
保育園 見学 服装,C11_採用側・選考突破【中核】,500,Know,C,Mid,高,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育園 見学 アポ 電話 例文,C11_採用側・選考突破【中核】,100,Do,B,Low,中,,推定/根拠:電話は10-11時/13-15時が推奨との記述が複数。手順型でAI耐性中
保育園 見学 給料 聞いていい,C11_採用側・選考突破【中核】,50,Know,A,Low,低,,推定/根拠:通説への反論枠。園長監修の看板記事候補【P2重点:30代・経験5年以上・失敗回避層】
保育園 見学 断られた,C11_採用側・選考突破【中核】,50,Know,A,Low,低,,推定/根拠:見学を断る園の内情は決裁者しか書けない。ブラック判定シグナルと接続
保育園 見学 だけ 応募しない,C11_採用側・選考突破【中核】,50,Know,B,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育園 見学 お礼メール 例文,C11_採用側・選考突破【中核】,100,Do,C,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
ブラック保育園 見分け方,C11_採用側・選考突破【中核】,500,Know,A,Mid,低,2,推定/根拠:大手はチェックリスト型止まり。『残業/配置基準/離職率を数値で聞き、答えられるか』の採用側基準で差別化【P2重点:30代・経験5年以上・失敗回避層】
ブラック保育園 特徴,C11_採用側・選考突破【中核】,"1,000",Know,B,Mid,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育園 離職率 調べ方,C11_採用側・選考突破【中核】,100,Do,A,Low,低,10,推定/根拠:現況報告書・財務諸表など公開一次情報の読み方。競合ほぼ不在【P2重点:30代・経験5年以上・失敗回避層】
保育園 求人 出し続けている 理由,C11_採用側・選考突破【中核】,100,Know,A,Low,低,9,推定/根拠:『常時募集＝離職率のシグナル』。採用側の実態解説で独占可能【P2重点:30代・経験5年以上・失敗回避層】
保育士 求人票 見方 チェックポイント,C11_採用側・選考突破【中核】,100,Know,A,Low,低,8,推定/根拠:求人票の裏の読み方。園長が書く前提で独自性が最大化【P2重点:30代・経験5年以上・失敗回避層】
保育士 求人 情報 実際と違う,C11_採用側・選考突破【中核】,50,Know,A,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 人材紹介 手数料 園 負担,C11_採用側・選考突破【中核】,100,Know,A,Low,低,11,推定/根拠:相場は理論年収の30〜35%（年収350万で約105〜122万円）。求職者向けに解説した記事はほぼ皆無＝空白地帯。【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】
保育士 紹介会社 経由 不利,C11_採用側・選考突破【中核】,100,Know,A,Low,低,13,推定/根拠:SERPは紹介会社の自社メディアのみでポジショントーク。中立解説の空白。【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】
保育士 直接応募 紹介 どっち,C11_採用側・選考突破【中核】,100,Know,A,Low,低,12,推定/根拠:比較意思決定型でAI耐性高。【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】【P2重点:30代・経験5年以上・失敗回避層】
保育士 直接応募 やり方,C11_採用側・選考突破【中核】,100,Do,B,Low,中,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】
保育士 直接応募 メリット デメリット,C11_採用側・選考突破【中核】,100,Know,A,Low,低,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】
保育士 ハローワーク 直接応募,C11_採用側・選考突破【中核】,100,Do,B,Low,中,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】
保育士 採用 年齢 何歳まで,C11_採用側・選考突破【中核】,100,Know,A,Low,低,49,推定/根拠:採用側の本音領域。40-50代層の不安に直接答えられる
保育士 転職 何社受ける,C11_採用側・選考突破【中核】,50,Know,B,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
保育士 面接 複数 同時進行,C11_採用側・選考突破【中核】,50,Know,B,Low,中,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能
