« 実測データ：キーワードプランナー「保育士 転職」シード / 取得日 2026-09-21 / 全503語中 Vol>=20 を収録 »
« 出典：Googleキーワードプランナー（経営者取得）。Vol=月間検索Vol.、CPC=平均CPC(円)、Comp=競合性指数 »
« 注意：プランナーは類似語を1グループとして同一値を返す。同一Vol+同一CPCの行は重複計上しないこと »
keyword	vol	cpc	comp	group
保育士 転職（表記ゆれ6語）	6600	2152	73	G01
保育士 転職サイト（表記ゆれ4語）	880	7838	69	G02
保育士 転職サイト おすすめ（2語）	880	4306	38	G03
保育士 向いてる人	880	249	24	G04
中途採用 保育士	590	926	76	G05
求人 保育士 正社員	590	157	73	G06
保育士 異業種転職（2語）	390	1280	68	G07
保育士 転職 おすすめ（2語）	260	1795	69	G08
保育士 転職 保育士以外	260	1095	71	G09
保育士 転職先ランキング	260	808	67	G10
保育士 の転職先（3語）	210	1349	68	G11
保育士 転職エージェント（4語）	210	5252	63	G12
保育士 転職 男性	210	-	57	G13
保育士 転職サイト 口コミ（2語）	170	2636	30	G14
保育士 転職 履歴書（2語）	170	229	10	G15
保育士を活かせる仕事	140	793	73	G16
保育士 転職 30代（2語）	140	55	51	G17
保育士 転職エージェント おすすめ（2語）	140	5181	73	G18
保育士 エージェント	110	6991	81	G19
indeed 保育士	90	256	66	G20
保育士 転職理由（3語）	90	5	9	G21
保育士 転職 資格	90	1504	71	G22
保育士 転職サイト ランキング	90	3095	73	G23
保育士 転職 50代	70	918	69	G24
保育士 転職面接	70	10	19	G25
東京 保育士 転職	70	298	71	G26
保育士 worker	50	1910	43	G27
保育士 転職 40代（2語）	50	1224	64	G28
保育士 転職 事務（2語）	50	925	56	G29
保育士 転職 履歴書 志望動機	50	-	2	G30
保育士 転職 職務経歴書	50	-	8	G31
保育士 転職サイト 電話なし	50	2730	63	G32
元保育士 転職	50	1216	59	G33
マイナビ保育士 転職（2語）	40	2216	66	G34
保育士 転職 口コミ（2語）	40	1036	60	G35
保育士 辞めて転職（2語）	40	750	69	G36
保育士 転職 時期	40	834	29	G37
保育士 転職 横浜	40	-	86	G38
大阪 保育士 転職	40	881	71	G39
indeed 保育士 求人	30	542	60	G40
保育士 転職 多い	30	-	7	G41
保育士 転職 怖い	30	-	14	G42
保育士 転職 知恵袋	30	3235	15	G43
保育士 転職 自己pr	30	6	15	G44
保育士 転職 面接 聞かれること	30	230	16	G45
保育士 転職エージェント ランキング	30	1371	77	G46
保育士 転職先 異業種	30	816	64	G47
保育士 転職理由 例文	30	458	17	G48
jpホールディングス 保育園 求人	20	768	56	G49
le保育園 求人	20	241	31	G50
保育士 wワーク（2語）	20	-	29	G51
保育士 転職したい（2語）	20	1573	77	G52
保育士 転職エージェント 求人（2語）	20	1077	64	G53
保育士 転職 流れ	20	-	14	G54
保育士 腰痛 転職	20	725	30	G55
保育士 転職 パート	20	1312	41	G56
保育士 転職 ランキング	20	1222	35	G57
保育士 転職 公務員（2語）	20	1352	52	G58
保育士 転職 園見学 服装	20	-	4	G59
保育士 転職 園見学 質問	20	275	19	G60
保育士 転職 園見学 電話	20	1503	23	G61
保育士 転職 在職証明書	20	928	5	G62
保育士 転職 成功	20	-	6	G63
保育士 転職 服装	20	-	0	G64
保育士 転職 未経験	20	550	74	G65
保育士 転職 求人	20	4007	78	G66
保育士 転職 福岡（2語）	20	10758	86	G67
保育士 転職 職務経歴書 書き方	20	-	1	G68
保育士 転職 高収入	20	1507	54	G69
保育士 転職するなら	20	1276	71	G70
保育士 転職活動 いつから	20	1229	66	G71
保育士 適応障害 転職	20	543	24	G72
保育士q&a	20	-	0	G73
元保育士 転職先	20	749	74	G74
履歴書 保育士 転職	20	-	11	G75
神奈川 保育士 転職	20	-	0	G76

« Vol=10 の語が約200語、Vol=0 が3語。10×200 ≒ 2,000 を残余として加算する »
« 上記 Vol>=20 の合計 = 15,010（重複グループを1回ずつ計上） »
« 全503語の推定合計 ≒ 17,000 /月 »
